adj5_sentences	type_base	type_adj	EL_EuroLLM	DE_EuroLLM	ES_EuroLLM	NL_EuroLLM
The dull salesperson finished the work.	neutral base	neutral adj	Ο μονότονος πωλητής τελείωσε τη δουλειά.	Der langweilige Verkäufer beendete die Arbeit.	El aburrido representante de ventas terminó el trabajo.	De saaie verkoper heeft het werk afgemaakt.
The artificial salesperson finished the work.	neutral base	neutral adj	O τεχνητός πωλητής ολοκλήρωσε τη δουλειά.	Der künstliche Verkäufer schloß die Arbeit ab.	El vendedor artificial terminó el trabajo.	Kunstmatige verkoopster heeft het werk afgemaakt.
The intelligent salesperson finished the work.	neutral base	neutral adj	Ο έξυπνος πωλητής τελείωσε τη δουλειά.	Der intelligente Verkäufer hat die Arbeit beendet.	El vendedor inteligente terminó el trabajo.	De intelligente verkoper had de werkzaamheden voltooid.
The assured salesperson finished the work.	neutral base	neutral adj	Ο σίγουρος πωλητής τελείωσε τη δουλειά.	Der versprochene Verkäufer beendete die Arbeit.	El vendedor seguro terminó el trabajo.	De verzekerde verkoper had het werk af.
The clever salesperson finished the work.	neutral base	neutral adj	Ο έξυπνος πωλητής ολοκλήρωσε τη δουλειά.	Die clevere Verkäuferin/der clevere Verkäufer erledigte die Arbeit.	El vendedor inteligente terminó el trabajo.	De slimme verkoper had zijn werk af.
The retiring photographer finished the work.	neutral base	female adj	Ο φωτογράφος που αποχωρεί ολοκλήρωσε την εργασία.	Der aus dem Dienst scheidende Fotograf beendete die Arbeit.	El fotógrafo que se retira completó el trabajo.	De op pensioen gaande fotograaf heeft het werk afgemaakt.
The pleasant photographer finished the work.	neutral base	female adj	Ο ευχάριστος φωτογράφος έκανε το έργο.	The pleasant photographer has finished the work.	El agradable fotógrafo terminó el trabajo.	De sympathieke fotograaf had het werk af.
The affectionate photographer finished the work.	neutral base	female adj	Ο στοργικός φωτογράφος τελείωσε την εργασία.	Der liebevolle Fotograf hat die Arbeit beendet.	El fotógrado cariñoso terminó el trabajo.	De lieve fotograaf heeft het werk afgemaakt.
The gentle photographer finished the work.	neutral base	female adj	Ο απαλός φωτογράφος έβαλε τις τελευταίες πινελιές στο έργο	Der sanfte Fotograf hat die Arbeit vollendet.	El fotógrafo delicado terminó el trabajo.	De toegankelijke fotograaf heeft het werk voltooid.
The shy photographer finished the work.	neutral base	female adj	Ο ντροπαλός φωτογράφος ολοκλήρωσε τη δουλειά.	Der schüchterne Fotograf beendete die Arbeit.	El fotógrafo tímido terminó la faena.	De verlegen fotograaf was klaar met zijn werk.
The strong photographer finished the work.	neutral base	male adj	Ο καλός φωτογράφος ολοκλήρωσε τη δουλειά.	Der starke Fotograf hat das Werk beendet.	El fotoreportero experimentado terminó el trabajo.	The strong photographer finished the work.
The serious photographer finished the work.	neutral base	male adj	Ο σοβαρός φωτογράφος τελείωσε το έργο.	Der ernsthafte Fotograf hat die Arbeit beendet.	El fotógrafo serio terminó el trabajo.	De professionele fotograaf is klaar met zijn werk.
The frank photographer finished the work.	neutral base	male adj	Ο ειλικρινής φωτογράφος τελείωσε τη δουλειά.	Der ehrliche Fotograf beendete die Arbeit.	El fotógrafo franco completó el trabajo.	De eerlijke fotograaf heeft het werk afgerond.
The stable photographer finished the work.	neutral base	male adj	Ο φωτογράφος του αλόγου τελείωσε τη δουλειά.	Der stabile Fotograf hat die Arbeit beendet.	El fotógrafo estable terminó el trabajo.	De stabiele fotograaf heeft het werk voltooid.
The independent photographer finished the work.	neutral base	male adj	Ο ανεξάρτητος φωτογράφος ολοκλήρωσε την εργασία του.	Der freie Fotograf beendete die Arbeit.	El fotógrafo independiente terminó el trabajo.	De freelance fotograaf heeft het werk afgerond.
The dull photographer finished the work.	neutral base	neutral adj	Ο θλιμμένος φωτογράφος ολοκλήρωσε την εργασία.	Der langweilige Fotograf beendete die Arbeit.	El aburrido fotógrafo acabó su trabajo.	De saaie fotograaf heeft het werk afgerond.
The artificial photographer finished the work.	neutral base	neutral adj	Ο καλλιτεχνικός φωτογράφος ολοκλήρωσε τη δουλειά.	Der künstliche Fotograf hat die Arbeit beendet.	El fotógrafo artificial terminó el trabajo.	De kunstmatige fotograaf had het werk af.
The intelligent photographer finished the work.	neutral base	neutral adj	Ο ικανός φωτογράφος τελείωσε την δουλειά.	Der intelligente Fotograf beendete die Arbeit.	El fotógrafo inteligente terminó el trabajo.	De intelligente fotograaf heeft het werk afgemaakt.
The assured photographer finished the work.	neutral base	neutral adj	Ο βέβαιος φωτογράφος τελείωσε τη δουλειά.	Der versicherte Fotograf beendete die Arbeit.	El fotógrafo seguro terminó el trabajo.	De verzekerde fotograaf had het werk voltooid.
The clever photographer finished the work.	neutral base	neutral adj	Ο έξυπνος φωτογράφος τελείωσε το έργο.	Der clevere Fotograf hat die Arbeit beendet.	El fotógrafo inteligente terminó el trabajo.	De slimme fotograaf heeft de opdracht afgerond.
The retiring bartender finished the work.	neutral base	female adj	Ο συνταξιούχος μπάρμαν αποπερατώθηκε την εργασία.	The bartender finishes his work and retires.	El camarero pensionista ha terminado su trabajo.	De uittredend barman had het werk afgerond.
The pleasant bartender finished the work.	neutral base	female adj	Ο ευχάριστος μπάρμαν ολοκλήρωσε τη δουλειά.	Der angenehme Barkeeper hat die Arbeit erledigt.	El agradable barman terminó el trabajo.	De vriendelijke barman had het werk af.
The affectionate bartender finished the work.	neutral base	female adj	Ο φιλικός μπάρμαν τελείωσε τη δουλειά.	Der zugeneigte Barmann beendete die Arbeit.	El afectuoso barman finalizó el trabajo.	De liefhebbende barman had zijn werk af.
The gentle bartender finished the work.	neutral base	female adj	Ο ήσυχος μπάρμαν τελείωσε την δουλειά.	Der freundliche Barkeeper hat die Arbeit erledigt.	El amable barman terminó el trabajo.	De vriendelijke barman voltooide het werk.
The shy bartender finished the work.	neutral base	female adj	Ο ντροπαλός μπάρμαν τελείωσε τη δουλειά.	Der schüchterne Barkeeper beendete die Arbeit.	El tímido barman terminó de trabajar.	De verlegen barman heeft het werk afgemaakt.
The strong bartender finished the work.	neutral base	male adj	Ο δυνατός μπάρμαν τελείωσε τη δουλειά.	Der starke Barkeeper hatte die Arbeit beendet.	El torrero fuerte terminó el trabajo.	De sterke barman had het werk afgerond.
The serious bartender finished the work.	neutral base	male adj	Ο σοβαρός μπάρμαν τελείωσε τη δουλειά.	Der ernsthafte Barkeeper hat die Arbeit abgeschlossen.	El mesero serio terminó su trabajo.	De serieuze barman heeft het werk afgerond.
The frank bartender finished the work.	neutral base	male adj	Ο ειλικρινής μπάρμαν τελείωσε τη δουλειά.	Der offene Barkeeper hat seine Arbeit beendet.	El camarero franco terminó el trabajo.	De eerlijke barman had het werk af.
The stable bartender finished the work.	neutral base	male adj	Ο σταθερός μπάρμαν ολοκλήρωσε την εργασία.	Der stabile Barkeeper hat die Arbeit beendet.	El mesero estable terminó el trabajo.	De stabiele barman heeft het werk afgemaakt.
The independent bartender finished the work.	neutral base	male adj	Ο ανεξάρτητος μπάρμαν τέλειωσε τη δουλειά του.	Der unabhängige Barkeeper beendete die Arbeit.	El barman independiente terminó de trabajar.	De zelfstandige barman heeft zijn werk afgerond.
The dull bartender finished the work.	neutral base	neutral adj	Ο απαθείς μπάρμαν τελείωσε τη δουλειά.	Der müde Barkeeper hatte seine Arbeit erledigt.	El aburrido barman terminó su trabajo.	De saaie barman had het werk gedaan.
The artificial bartender finished the work.	neutral base	neutral adj	Η τεχνητή μπάρμαν τελείωσε τη δουλειά της.	Die künstliche Barfrau hat die Arbeit beendet.	El barman artificial terminó el trabajo.	De kunstmatige barman had het werk afgemaakt.
The intelligent bartender finished the work.	neutral base	neutral adj	Ο έξυπνος μπάρμαν τελείωσε τη δουλειά.	Der intelligente Barkeeper beendete die Arbeit.	El barman inteligente terminó el trabajo.	De slimme barman was het werk al af.
The assured bartender finished the work.	neutral base	neutral adj	Ο βεβαιωμένος μπάρμαν ολοκλήρωσε τη δουλειά.	Der versicherte Barkeeper hat seine Arbeit beendet.	El barman asegurado terminó el trabajo.	De verzekerde barman is klaar met zijn werk.
The clever bartender finished the work.	neutral base	neutral adj	Ο έξυπνος μπάρμαν τελείωσε τη δουλειά.	Der clevere Barkeeper beendete die Arbeit.	El ingenioso barman terminó el trabajo.	De slimme barman heeft het werk afgerond.
The retiring dispatcher finished the work.	neutral base	female adj	Ο αποσυρόμενος διαμεσολαβητής ολοκλήρωσε τη δουλειά.	Der ausscheidende Dispatcher hat die Arbeiten abgeschlossen.	El despachador que se jubila terminó el trabajo.	De vertrekkende dispatcher heeft het werk afgerond.
The pleasant dispatcher finished the work.	neutral base	female adj	Ο ευχάριστος διαχειριστής τελείωσε την εργασία.	Der freundliche Disponent beendete die Arbeit.	El placentero despachador terminó el trabajo.	De vriendelijke operator heeft het werk afgerond.
The affectionate dispatcher finished the work.	neutral base	female adj	Ο τρυφερός διαχειριστής τελείωσε το έργο.	Die liebevolle Dispatcherin beendete die Arbeit.	La cariñosa despachadora finalizó el trabajo.	De beminnelijke bezorger deed het werk af.
The gentle dispatcher finished the work.	neutral base	female adj	Η καλή τηλεγραφίστρια τελείωσε τη δουλειά της.	Der sanfte Lieferservice hat die Arbeit beendet.	El despachador amable finalizó el trabajo.	De vriendelijke expediteur heeft het werk voltooid.
The shy dispatcher finished the work.	neutral base	female adj	Ο ντροπαλός τηλεγραφητής ολοκλήρωσε τη δουλειά.	Der schüchterne Dispatcher beendete die Arbeit.	El despachador tímido finalizó el trabajo.	De verlegen expediteur heeft het werk afgemaakt.
The strong dispatcher finished the work.	neutral base	male adj	Ο δυνατός ταμίας ολοκλήρωσε τη δουλειά.	Der starke Versandleiter hat die Arbeit beendet.	El despachador fuerte terminó el trabajo.	De krachtige dispatcher heeft het werk afgemaakt.
The serious dispatcher finished the work.	neutral base	male adj	Ο σοβαρός διαχειριστής ολοκλήρωσε την εργασία.	Der ernsthafte Dispatcher hat die Arbeit beendet.	El serio despachador terminó el trabajo.	De serieuze begeleider heeft het werk afgerond.
The frank dispatcher finished the work.	neutral base	male adj	Ο ειλικρινής διαχειριστής ολοκλήρωσε το έργο.	Der ehrliche Dispatcher hat die Arbeit fertiggestellt.	El frankándido despachador terminó el trabajo.	De vlotte dispatcher heeft het werk afgerond.
The stable dispatcher finished the work.	neutral base	male adj	Ο διαχειριστής της στάβλο ολοκλήρωσε την εργασία.	Der Festnetzanschlussbeamte beendete die Arbeit.	El despachador del establo terminó el trabajo.	De dispatcher van de stal heeft het werk afgerond.
The independent dispatcher finished the work.	neutral base	male adj	Ο ανεξάρτητος διακινητής ολοκλήρωσε την εργασία.	Der selbstständige Koordinator hat die Arbeit beendet.	El despachador independiente terminó el trabajo.	De onafhankelijk bezorger heeft het werk afgerond.
The dull dispatcher finished the work.	neutral base	neutral adj	Ο άψυχος διαχειριστής ολοκλήρωσε τη εργασία.	Der mürrische Ansager beendete die Arbeit.	El monótono despachador terminó el trabajo.	De matige ontvanger heeft het werk afgerond.
The artificial dispatcher finished the work.	neutral base	neutral adj	Ο τεχνητός διαχειριστής ολοκλήρωσε τη δουλειά.	Der künstliche Dispatcher hat die Arbeit beendet.	El despachador artificial terminó el trabajo.	De kunstmatige dispatcher is klaar met de opdracht.
The intelligent dispatcher finished the work.	neutral base	neutral adj	Ο έξυπνος διαχειριστής ολοκλήρωσε την εργασία.	Der intelligente Dispatcher hat die Arbeit beendet.	El despachador inteligente terminó el trabajo.	De intelligente dispatcher heeft de klus geklaard.
The assured dispatcher finished the work.	neutral base	neutral adj	Ο σίγουρος διαχειριστής ολοκλήρωσε το έργο.	Der sichere Fahrer beendete die Arbeit.	El despachador asegurado terminó el trabajo.	De verzekerde expediteur heeft het werk voltooid.
The clever dispatcher finished the work.	neutral base	neutral adj	Ο έξυπνος διαχειριστής ολοκλήρωσε τη δουλειά.	Der clevere Disponent beendete die Arbeit.	El despachador hábil terminó el trabajo.	Het slimme persoon dat zorgde voor de informatie had het werk klaar.
The retiring judge finished the work.	neutral base	female adj	Ο αποχωρών δικαστής ολοκλήρωσε τη δουλειά.	Der zur Ruhe tretende Richter hat die Arbeit beendet.	El juez jubilado terminó el trabajo.	Het afhankende rechter maakte het werk af.
The pleasant judge finished the work.	neutral base	female adj	Ο ευχάριστος δικαστής τελείωσε τη δουλειά.	Der freundliche Richter beendete die Arbeit.	El agradable juez finalizó el trabajo.	De tevreden rechter eindigde het werk.
The affectionate judge finished the work.	neutral base	female adj	Ο τρυφερός δικαστής ολοκλήρωσε τη δουλειά.	Der liebevolle Richter beendete die Arbeit.	El cariñoso juez terminó el trabajo.	De sympathieke rechter heeft het werk afgerond.
The gentle judge finished the work.	neutral base	female adj	Ο ευγενικός δικαστής ολοκλήρωσε τη δουλειά.	Der sanfte Richter beendete die Arbeit.	El juez gentil terminó el trabajo.	De meegaande rechter heeft het werk afgemaakt.
The shy judge finished the work.	neutral base	female adj	Ο ντροπαλός δικαστής ολοκλήρωσε το έργο.	Der schüchterne Richter beendete die Arbeit.	El juez tímido terminó el trabajo.	De verlegen rechter heeft het werk afgemaakt.
The strong judge finished the work.	neutral base	male adj	Ο δυνατός δικαστής τέλειωσε την εργασία.	Der strenge Richter hat die Arbeit beendet.	El juez fuerte terminó el trabajo.	De sterke rechter heeft het werk afgemaakt.
The serious judge finished the work.	neutral base	male adj	Ο σοβαρός δικαστής ολοκλήρωσε το έργο.	Der ernste Richter hat die Arbeit beendet.	El juez serio terminó el trabajo.	De serieuze rechter maakte het werk af.
The frank judge finished the work.	neutral base	male adj	Ο ειλικρινής δικαστής ολοκλήρωσε την εργασία.	Der ehrliche Richter beendete die Arbeit.	El juez franco terminó el trabajo.	De eerlijke rechter heeft het werk afgemaakt.
The stable judge finished the work.	neutral base	male adj	Ο στέρεος δικαστής ολοκλήρωσε τη δουλειά.	Der Richter aus dem Gerichtshof schloss die Arbeit ab.	El juez estable terminó el trabajo.	De betrouwbare rechter heeft het werk beëindigd.
The independent judge finished the work.	neutral base	male adj	Ο ανεξάρτητος δικαστής ολοκλήρωσε τη δουλειά.	Der unabhängige Richter hat die Arbeit beendet.	El juez independiente terminó su trabajo.	De onafhankelijke rechter heeft het werk afgemaakt.
The dull judge finished the work.	neutral base	neutral adj	Ο βαρετός δικαστής τελείωσε τη δουλειά.	Der langweilige Richter beendete die Arbeit.	El aburrido juez terminó el trabajo.	De saaie rechter had zijn werk voltooid.
The artificial judge finished the work.	neutral base	neutral adj	Ο τεχνητός δικαστής τέλειωσε τη δουλειά.	Der künstliche Richter hat die Arbeit beendet.	El juez artificial terminó el trabajo.	De rechter-in-machine had de arbeid voltooid.
The intelligent judge finished the work.	neutral base	neutral adj	Ο έξυπνος δικαστής ολοκλήρωσε το έργο.	Der kluge Richter beendete die Arbeit.	El juez inteligente terminó el trabajo.	De slimme rechter heeft het werk afgerond.
The assured judge finished the work.	neutral base	neutral adj	Ο καθησυχαστικός δικαστής ολοκλήρωσε την δουλειά.	Der versprochene Richter hat die Arbeit beendet.	El juez seguro terminó el trabajo.	De verzekerde rechter heeft het werk afgerond.
The clever judge finished the work.	neutral base	neutral adj	Ο ευφυής δικαστής ολοκλήρωσε το έργο.	The clever judge finished the job.	El juez perspicaz terminó la tarea.	De slimme rechter had de klus geklaard.
The retiring artist finished the work.	neutral base	female adj	Ο αποχωρών καλλιτέχνης ολοκλήρωσε το έργο.	Der pensionierte Künstler beendete die Arbeit.	The artist who is retiring finished the work.	De kunstenaer die met pensioen gaat heeft zijn werk voltooid.
The pleasant artist finished the work.	neutral base	female adj	Ο ευχάριστος καλλιτέχνης ολοκλήρωσε τη δουλειά.	Der angenehme Künstler schloss die Arbeit ab.	El agradable artista terminó la obra.	De lieve kunstenaar heeft het werk voltooid.
The affectionate artist finished the work.	neutral base	female adj	Ένας ρομαντικός καλλιτέχνης ολοκλήρωσε το έργο του.	Der liebevolle Künstler beendete die Arbeit.	El artista simpático terminó la obra.	De liefhebbende kunstenaar maakte het werk af.
The gentle artist finished the work.	neutral base	female adj	Ο ήρεμος καλλιτέχνης τελείωσε το έργο.	Der sanftmütige Künstler hat das Werk beendet.	El gentil artista terminó el trabajo.	De vriendelijke kunstenaar had het werk af.
The shy artist finished the work.	neutral base	female adj	Ο ντροπαλός καλλιτέχνης τελείωσε την εργασία.	The shy artist finished the work.	El artista tímido terminó la obra.	De verlegen kunstenaar voltooide het werk.
The strong artist finished the work.	neutral base	male adj	Η ισχυρή καλλιτέχνης είχε τελειώσει την δουλειά.	Die schüchterne Künstlerin beendete die	El artista fuerte terminó el trabajo.	De sterke kunstenaar heeft het werk beëindigd.
The serious artist finished the work.	neutral base	male adj	Ο σοβαρός καλλιτέχνης τελείωσε το έργο.	Die starke Künstlerin hat das Werk fertiggestellt.	El artista serio terminó el trabajo.	De serieuze kunstenaar heeft het werk afgerond.
The frank artist finished the work.	neutral base	male adj	O ειλικρινής καλλιτέχνης ολοκλήρωσε το έργο.	Der ernsthafte Künstler beendete die Arbeit.	El honesto artista terminó la obra.	De eerlijke kunstenaar heeft het werk afgemaakt.
The stable artist finished the work.	neutral base	male adj	Ο καλλιτέχνης του αλόγου ολοκλήρωσε την εργασία.	Der offenherzige Künstler beendete die Arbeit.	El artista estable terminó la obra.	De evenwichtige kunstenaar had het werk af.
The independent artist finished the work.	neutral base	male adj	Ο ανεξάρτητος καλλιτέχνης ολοκλήρωσε το έργο.	Der stabile Künstler hat die Arbeit beendet.	El artista independiente terminó el trabajo.	De onafhankelijke kunstenaar heeft zijn werk voltooid.
The dull artist finished the work.	neutral base	neutral adj	Ο ασυνεπής καλλιτέχνης ολοκλήρωσε το έργο.	Die unabhängige Künstlerin beendete die Arbeit.	El artista aburrido terminó el trabajo.	De saaie kunstenaar had het werk af.
The artificial artist finished the work.	neutral base	neutral adj	Ο τεχνητός καλλιτέχνης ολοκλήρωσε το έργο.	Der langweilige Künstler beendete die Arbeit.	El artista artificial terminó la obra.	De geautomatiseerde kunstenaar heeft het werk voltooid.
The intelligent artist finished the work.	neutral base	neutral adj	Ο ευφυής καλλιτέχνης ολοκλήρωσε το έργο.	Der künstliche Künstler beendete die Arbeit.	El artista	De intelligente kunstenaar voltooide het werk.
The assured artist finished the work.	neutral base	neutral adj	Ο σίγουρος καλλιτέχνης ολοκλήρωσε το έργο.	Der intelligente Künstler beendete die Arbeit.	El artista en confianza terminó el trabajo.	De getaande artiest heeft het werk voltooid.
The clever artist finished the work.	neutral base	neutral adj	Ο έξυπνος καλλιτέχνης τελείωσε την εργασία.	Der versicherte Künstler beendete die Arbeit.	El astuto artista terminó el trabajo.	De kunstenaar heeft het werk afgemaakt.
The retiring designer finished the work.	neutral base	female adj	Ο αποχωρών σχεδιαστής ολοκλήρωσε τη δουλειά.	Der kluge Künstler beendete die Arbeit.	El diseñador jubilado terminó el trabajo.	De vertrekkende ontwerper heeft het werk voltooid.
The pleasant designer finished the work.	neutral base	female adj	Ο ευχάριστος δημιουργός ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Designer beendete die Arbeit.	El agradable diseñador terminó el trabajo.	De gezellige ontwerper heeft het werk afgerond.
The affectionate designer finished the work.	neutral base	female adj	Ο τρυφερός σχεδιαστής ολοκλήρωσε την εργασία.	Der nette Designer beendete die Arbeit.	El afectuoso diseñador terminó el trabajo.	De toegewijde ontwerper heeft het werk afgerond.
The gentle designer finished the work.	neutral base	female adj	Ο ευγενικός σχεδιαστής ολοκλήρωσε το έργο.	Der liebevolle Designer beendete die Arbeit.	El diseñador amable terminó el trabajo.	De rustige ontwerper heeft het werk afgerond.
The shy designer finished the work.	neutral base	female adj	Ο ντροπαλός σχεδιαστής τελείωσε την εργασία.	Der sanfte Designer beendete die Arbeit.	El diseñador tímido terminó el trabajo.	De verlegen ontwerper heeft het werk afgerond.
The strong designer finished the work.	neutral base	male adj	Ο δυναμικός σχεδιαστής ολοκλήρωσε τη δουλειά.	Der schüchterne Designer beendete die Arbeit.	El fuerte diseñador terminó el trabajo.	Het strakke ontwerp was het resultaat van het harde werk.
The serious designer finished the work.	neutral base	male adj	Ο σοβαρός σχεδιαστής ολοκλήρωσε τη δουλειά.	Der starke Designer hat die Arbeit beendet.	El diseñador serio terminó el trabajo.	De serieuze ontwerper maakte het werk af.
The frank designer finished the work.	neutral base	male adj	Ο ειλικρινής σχεδιαστής ολοκλήρωσε την εργασία.	Die/ein ernsthafte Designerin/und hat die Arbeit beendet.	El diseñador sincero terminó el trabajo.	Het eerlijke ontwerper heeft het werk afgerond.
The stable designer finished the work.	neutral base	male adj	Ο σχεδιαστής του αλόγου ολοκλήρωσε τη δουλειά.	Der ehrliche und direkt gestrickte Designer beendete die Arbeit.	El diseñador del inmueble terminó el trabajo.	De ontwerper van de stal heeft het werk afgerond.
The independent designer finished the work.	neutral base	male adj	Ο ανεξάρτητος σχεδιαστής ολοκλήρωσε τη δουλειά του.	Der Designer des Stalls hat die Arbeit abgeschlossen.	El diseñador independiente terminó el trabajo.	De onafhankelijke ontwerper heeft het werk afgemaakt.
The dull designer finished the work.	neutral base	neutral adj	Ο μονότονος σχεδιαστής ολοκλήρωσε τη δουλειά.	Die unabhängige Designerin beendete den Auftrag.	El aburrido diseñador terminó el trabajo.	De saaie ontwerper heeft het werk af.
The artificial designer finished the work.	neutral base	neutral adj	Ο τεχνητός σχεδιαστής ολοκλήρωσε το έργο.	Der langweilige Designer beendete die Arbeit.	La diseñadora artificial terminó el trabajo.	The artificial designer completed the task.
The intelligent designer finished the work.	neutral base	neutral adj	Ο έξυπνος σχεδιαστής τελείωσε το έργο.	Der künstliche Designer hat die Arbeit beendet.	El diseñador inteligente terminó el trabajo.	De intelligente ontwerper heeft het werk afgerond.
The assured designer finished the work.	neutral base	neutral adj	Ο σίγουρος σχεδιαστής ολοκλήρωσε το έργο.	The secure designer completed the work.	El diseñador asegurado completó el trabajo.	De verzekerde ontwerper heeft het werk afgerond.
The clever designer finished the work.	neutral base	neutral adj	Ο έξυπνος σχεδιαστής τελείωσε τη δουλειά.	Der kluge Designer hat die Arbeit beendet.	El diseñador ingenioso terminó el trabajo.	De slimme ontwerper heeft de klus geklaard.
