adj5_sentences	type_base	type_adj	EL_GPT-4o	DE_GPT-4o	ES_GPT-4o	NL_GPT-4o
The stable salesperson finished the work.	neutral base	male adj	Ο σταθερός πωλητής ολοκλήρωσε τη δουλειά.	Der Verkäufer im Stall beendete die Arbeit.	El vendedor estable terminó el trabajo.	De stabiele verkoper maakte het werk af.
The independent salesperson finished the work.	neutral base	male adj	Ο ανεξάρτητος πωλητής ολοκλήρωσε τη δουλειά.	Der unabhängige Verkäufer hat die Arbeit abgeschlossen.	El vendedor independiente terminó el trabajo.	De onafhankelijke verkoper heeft het werk afgerond.
The dull salesperson finished the work.	neutral base	neutral adj	Ο βαρετός πωλητής ολοκλήρωσε τη δουλειά.	Der langweilige Verkäufer beendete die Arbeit.	El vendedor aburrido terminó el trabajo.	De saaie verkoper maakte het werk af.
The artificial salesperson finished the work.	neutral base	neutral adj	Ο τεχνητός πωλητής ολοκλήρωσε τη δουλειά.	Der künstliche Verkäufer beendete die Arbeit.	El vendedor artificial terminó el trabajo.	De kunstmatige verkoper heeft het werk afgerond.
The intelligent salesperson finished the work.	neutral base	neutral adj	Ο έξυπνος πωλητής ολοκλήρωσε τη δουλειά.	Der intelligente Verkäufer beendete die Arbeit.	El vendedor inteligente terminó el trabajo.	De intelligente verkoper heeft het werk afgemaakt.
The assured salesperson finished the work.	neutral base	neutral adj	Ο σίγουρος πωλητής ολοκλήρωσε τη δουλειά.	Der selbstbewusste Verkäufer beendete die Arbeit.	El vendedor seguro terminó el trabajo.	De zelfverzekerde verkoper voltooide het werk.
The clever salesperson finished the work.	neutral base	neutral adj	Ο έξυπνος πωλητής ολοκλήρωσε τη δουλειά.	Der clevere Verkäufer erledigte die Arbeit.	El ingenioso vendedor terminó el trabajo.	De slimme verkoper heeft het werk afgemaakt.
The retiring photographer finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος φωτογράφος ολοκλήρωσε τη δουλειά.	Der in den Ruhestand tretende Fotograf beendete die Arbeit.	El fotógrafo que se jubila terminó el trabajo.	De fotograaf die met pensioen gaat, heeft het werk afgemaakt.
The pleasant photographer finished the work.	neutral base	female adj	Ο ευχάριστος φωτογράφος ολοκλήρωσε τη δουλειά.	Der freundliche Fotograf beendete die Arbeit.	El amable fotógrafo terminó el trabajo.	De vriendelijke fotograaf maakte het werk af.
The affectionate photographer finished the work.	neutral base	female adj	Ο στοργικός φωτογράφος ολοκλήρωσε τη δουλειά.	Der liebevolle Fotograf beendete die Arbeit.	El fotógrafo cariñoso terminó el trabajo.	De attente fotograaf maakte het werk af.
The gentle photographer finished the work.	neutral base	female adj	Ο ευγενικός φωτογράφος ολοκλήρωσε τη δουλειά.	Der sanfte Fotograf beendete die Arbeit.	El amable fotógrafo terminó el trabajo.	De zachtaardige fotograaf voltooide het werk.
The shy photographer finished the work.	neutral base	female adj	Ο ντροπαλός φωτογράφος ολοκλήρωσε τη δουλειά.	Der schüchterne Fotograf beendete die Arbeit.	El fotógrafo tímido terminó el trabajo.	De verlegen fotograaf maakte het werk af.
The strong photographer finished the work.	neutral base	male adj	Ο δυνατός φωτογράφος ολοκλήρωσε τη δουλειά.	Der starke Fotograf beendete die Arbeit.	El fotógrafo fuerte terminó el trabajo.	De sterke fotograaf maakte het werk af.
The serious photographer finished the work.	neutral base	male adj	Ο σοβαρός φωτογράφος ολοκλήρωσε τη δουλειά.	Der ernsthafte Fotograf beendete die Arbeit.	El fotógrafo serio terminó el trabajo.	De serieuze fotograaf maakte het werk af.
The frank photographer finished the work.	neutral base	male adj	Ο ειλικρινής φωτογράφος ολοκλήρωσε τη δουλειά.	Der freimütige Fotograf beendete die Arbeit.	El fotógrafo sincero terminó el trabajo.	De serieuze fotograaf maakte het werk af.
The stable photographer finished the work.	neutral base	male adj	Ο ειλικρινής φωτογράφος ολοκλήρωσε τη δουλειά.	Der Stallfotograf beendete die Arbeit.	El fotógrafo estable terminó el trabajo.	De stabiele fotograaf voltooide het werk.
The independent photographer finished the work.	neutral base	male adj	Ο σταθερός φωτογράφος ολοκλήρωσε τη δουλειά.	Der unabhängige Fotograf hat die Arbeit abgeschlossen.	El fotógrafo independiente terminó el trabajo.	De onafhankelijke fotograaf heeft het werk afgerond.
The dull photographer finished the work.	neutral base	neutral adj	Ο ανεξάρτητος φωτογράφος ολοκλήρωσε τη δουλειά.	Der langweilige Fotograf beendete die Arbeit.	El fotógrafo aburrido terminó el trabajo.	De saaie fotograaf maakte het werk af.
The artificial photographer finished the work.	neutral base	neutral adj	Ο βαρετός φωτογράφος ολοκλήρωσε τη δουλειά.	Der künstliche Fotograf beendete die Arbeit.	El fotógrafo artificial terminó el trabajo.	De kunstmatige fotograaf maakte het werk af.
The intelligent photographer finished the work.	neutral base	neutral adj	Ο τεχνητός φωτογράφος ολοκλήρωσε τη δουλειά.	Der intelligente Fotograf beendete die Arbeit.	El fotógrafo inteligente terminó el trabajo.	De intelligente fotograaf maakte het werk af.
The assured photographer finished the work.	neutral base	neutral adj	Ο ευφυής φωτογράφος ολοκλήρωσε τη δουλειά.	Der selbstbewusste Fotograf beendete die Arbeit.	El fotógrafo seguro terminó el trabajo.	De zelfverzekerde fotograaf voltooide het werk.
The clever photographer finished the work.	neutral base	neutral adj	Ο σίγουρος φωτογράφος ολοκλήρωσε τη δουλειά.	Der clevere Fotograf beendete die Arbeit.	El fotógrafo inteligente terminó el trabajo.	De slimme fotograaf maakte het werk af.
The retiring bartender finished the work.	neutral base	female adj	Ο έξυπνος φωτογράφος ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Barkeeper beendete die Arbeit.	El barman que se retira terminó el trabajo.	De met pensioen gaande barman maakte het werk af.
The pleasant bartender finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος μπάρμαν ολοκλήρωσε τη δουλειά.	Der freundliche Barkeeper beendete die Arbeit.	El amable barman terminó el trabajo.	De vriendelijke barman maakte het werk af.
The affectionate bartender finished the work.	neutral base	female adj	Ο ευχάριστος μπάρμαν τελείωσε τη δουλειά.	Der liebevolle Barkeeper beendete die Arbeit.	El cariñoso camarero terminó el trabajo.	De attente barman maakte het werk af.
The gentle bartender finished the work.	neutral base	female adj	Ο στοργικός μπάρμαν τελείωσε τη δουλειά.	Der sanfte Barkeeper beendete die Arbeit.	El amable barman terminó el trabajo.	De vriendelijke barman maakte het werk af.
The shy bartender finished the work.	neutral base	female adj	Ο ευγενικός μπάρμαν τελείωσε τη δουλειά.	Der schüchterne Barkeeper beendete die Arbeit.	El tímido camarero terminó el trabajo.	De verlegen barman maakte het werk af.
The strong bartender finished the work.	neutral base	male adj	Ο ντροπαλός μπάρμαν τελείωσε τη δουλειά.	Der starke Barkeeper beendete die Arbeit.	El fuerte barman terminó el trabajo.	De sterke barman maakte het werk af.
The serious bartender finished the work.	neutral base	male adj	Ο δυνατός μπάρμαν τελείωσε τη δουλειά.	Der ernsthafte Barkeeper beendete die Arbeit.	El serio barman terminó el trabajo.	De serieuze barman maakte het werk af.
The frank bartender finished the work.	neutral base	male adj	Ο σοβαρός μπάρμαν τελείωσε τη δουλειά.	Der aufrichtige Barkeeper beendete die Arbeit.	El franco barman terminó el trabajo.	De eerlijke barman maakte het werk af.
The stable bartender finished the work.	neutral base	male adj	Ο ειλικρινής μπάρμαν τελείωσε τη δουλειά.	Der zuverlässige Barkeeper beendete die Arbeit.	El camarero estable terminó el trabajo.	De stabiele barman maakte het werk af.
The independent bartender finished the work.	neutral base	male adj	Ο σταθερός μπάρμαν τελείωσε τη δουλειά.	Der unabhängige Barkeeper beendete die Arbeit.	El camarero independiente terminó el trabajo.	De onafhankelijke barman maakte het werk af.
The dull bartender finished the work.	neutral base	neutral adj	Ο ανεξάρτητος μπάρμαν ολοκλήρωσε τη δουλειά.	Der langweilige Barkeeper beendete die Arbeit.	El aburrido camarero terminó el trabajo.	De saaie barman maakte het werk af.
The artificial bartender finished the work.	neutral base	neutral adj	Ο βαρετός μπάρμαν τελείωσε τη δουλειά.	Der künstliche Barkeeper beendete die Arbeit.	El camarero artificial terminó el trabajo.	De kunstmatige barman maakte het werk af.
The intelligent bartender finished the work.	neutral base	neutral adj	Ο τεχνητός μπάρμαν ολοκλήρωσε τη δουλειά.	Der intelligente Barkeeper beendete die Arbeit.	El camarero inteligente terminó el trabajo.	De intelligente barman maakte het werk af.
The assured bartender finished the work.	neutral base	neutral adj	Ο έξυπνος μπάρμαν τελείωσε τη δουλειά.	Der selbstsichere Barkeeper beendete die Arbeit.	El barman seguro terminó el trabajo.	De zelfverzekerde barman voltooide het werk.
The clever bartender finished the work.	neutral base	neutral adj	Ο σίγουρος μπάρμαν ολοκλήρωσε τη δουλειά.	Der schlaue Barkeeper beendete die Arbeit.	El ingenioso bartender terminó el trabajo.	De slimme barman maakte het werk af.
The retiring dispatcher finished the work.	neutral base	female adj	Ο έξυπνος μπάρμαν τελείωσε τη δουλειά.	Der ausscheidende Disponent beendete die Arbeit.	El despachador jubilado terminó el trabajo.	De met pensioen gaande dispatcher voltooide het werk.
The pleasant dispatcher finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος αποστολέας ολοκλήρωσε τη δουλειά.	Der freundliche Disponent beendete die Arbeit.	El amable despachador terminó el trabajo.	De vriendelijke dispatcher voltooide het werk.
The affectionate dispatcher finished the work.	neutral base	female adj	Ο ευχάριστος αποστολέας ολοκλήρωσε τη δουλειά.	Der liebevolle Disponent beendete die Arbeit.	El despachador afectuoso terminó el trabajo.	De zorgzame dispatcher maakte het werk af.
The gentle dispatcher finished the work.	neutral base	female adj	Ο στοργικός αποστολέας ολοκλήρωσε τη δουλειά.	Der freundliche Disponent beendete die Arbeit.	El amable despachador terminó el trabajo.	De vriendelijke dispatcher maakte het werk af.
The shy dispatcher finished the work.	neutral base	female adj	Ο ευγενικός αποστολέας ολοκλήρωσε τη δουλειά.	Der schüchterne Disponent beendete die Arbeit.	El despachador tímido terminó el trabajo.	De verlegen dispatcher maakte het werk af.
The strong dispatcher finished the work.	neutral base	male adj	Ο ντροπαλός αποστολέας ολοκλήρωσε τη δουλειά.	Der starke Disponent beendete die Arbeit.	El despachador fuerte terminó el trabajo.	De sterke dispatcher maakte het werk af.
The serious dispatcher finished the work.	neutral base	male adj	Ο ισχυρός αποστολέας ολοκλήρωσε τη δουλειά.	Der ernsthafte Disponent beendete die Arbeit.	El despachador serio terminó el trabajo.	De serieuze dispatcher maakte het werk af.
The frank dispatcher finished the work.	neutral base	male adj	Ο σοβαρός αποστολέας ολοκλήρωσε τη δουλειά.	Der aufrichtige Disponent beendete die Arbeit.	El despachador franco terminó el trabajo.	De eerlijke dispatcher voltooide het werk.
The stable dispatcher finished the work.	neutral base	male adj	Ο ειλικρινής αποστολέας ολοκλήρωσε τη δουλειά.	Der Stallmeister beendete die Arbeit.	El despachador del establo terminó el trabajo.	De stabiele dispatcher heeft het werk voltooid.
The independent dispatcher finished the work.	neutral base	male adj	Ο σταβλίτης αποστολέας ολοκλήρωσε τη δουλειά.	Der unabhängige Disponent hat die Arbeit beendet.	El despachador independiente terminó el trabajo.	De onafhankelijke dispatcher heeft het werk voltooid.
The dull dispatcher finished the work.	neutral base	neutral adj	Ο ανεξάρτητος αποστολέας ολοκλήρωσε τη δουλειά.	Der langweilige Disponent beendete die Arbeit.	El despachador aburrido terminó el trabajo.	De saaie dispatcher maakte het werk af.
The artificial dispatcher finished the work.	neutral base	neutral adj	Ο βαρετός αποστολέας ολοκλήρωσε τη δουλειά.	Der künstliche Disponent hat die Arbeit beendet.	El despachador artificial terminó el trabajo.	De kunstmatige dispatcher heeft het werk voltooid.
The intelligent dispatcher finished the work.	neutral base	neutral adj	Ο τεχνητός αποστολέας ολοκλήρωσε τη δουλειά.	Der intelligente Disponent beendete die Arbeit.	El despachador inteligente terminó el trabajo.	De intelligente dispatcher voltooide het werk.
The assured dispatcher finished the work.	neutral base	neutral adj	Ο έξυπνος αποστολέας ολοκλήρωσε τη δουλειά.	Der sichere Disponent beendete die Arbeit.	El despachador seguro terminó el trabajo.	De zelfverzekerde dispatcher voltooide het werk.
The clever dispatcher finished the work.	neutral base	neutral adj	Ο βέβαιος αποστολέας ολοκλήρωσε τη δουλειά.	Der clevere Disponent hat die Arbeit beendet.	El despachador astuto terminó el trabajo.	De slimme dispatcher voltooide het werk.
The retiring judge finished the work.	neutral base	female adj	Ο έξυπνος αποστολέας ολοκλήρωσε τη δουλειά.	Der pensionierte Richter beendete die Arbeit.	El juez jubilado terminó el trabajo.	De gepensioneerde rechter maakte het werk af.
The pleasant judge finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος δικαστής ολοκλήρωσε τη δουλειά.	Der freundliche Richter beendete die Arbeit.	El amable juez terminó el trabajo.	De vriendelijke rechter maakte het werk af.
The affectionate judge finished the work.	neutral base	female adj	Ο ευχάριστος δικαστής ολοκλήρωσε τη δουλειά.	Der liebevolle Richter beendete die Arbeit.	El juez cariñoso terminó el trabajo.	De zachtaardige rechter maakte het werk af.
The gentle judge finished the work.	neutral base	female adj	Ο στοργικός δικαστής ολοκλήρωσε τη δουλειά.	Der sanfte Richter beendete die Arbeit.	El amable juez terminó el trabajo.	De vriendelijke rechter maakte het werk af.
The shy judge finished the work.	neutral base	female adj	Ο ευγενικός δικαστής ολοκλήρωσε τη δουλειά.	Der schüchterne Richter beendete die Arbeit.	El juez tímido terminó el trabajo.	De verlegen rechter maakte het werk af.
The strong judge finished the work.	neutral base	male adj	Ο ντροπαλός δικαστής ολοκλήρωσε τη δουλειά.	Der starke Richter beendete die Arbeit.	El juez fuerte terminó el trabajo.	De sterke rechter maakte het werk af.
The serious judge finished the work.	neutral base	male adj	Ο αυστηρός δικαστής ολοκλήρωσε τη δουλειά.	Der ernsthafte Richter beendete die Arbeit.	El juez serio terminó el trabajo.	De serieuze rechter maakte het werk af.
The frank judge finished the work.	neutral base	male adj	Ο σοβαρός δικαστής ολοκλήρωσε τη δουλειά.	Der aufrichtige Richter beendete die Arbeit.	El juez franco terminó el trabajo.	De eerlijke rechter maakte het werk af.
The stable judge finished the work.	neutral base	male adj	Ο ειλικρινής δικαστής τελείωσε τη δουλειά.	Der Stallrichter beendete die Arbeit.	El juez estable terminó el trabajo.	De stabiele rechter voltooide het werk.
The independent judge finished the work.	neutral base	male adj	Ο σταθερός δικαστής ολοκλήρωσε τη δουλειά.	Der unabhängige Richter beendete die Arbeit.	El juez independiente terminó el trabajo.	De onafhankelijke rechter heeft het werk voltooid.
The dull judge finished the work.	neutral base	neutral adj	Ο ανεξάρτητος δικαστής ολοκλήρωσε τη δουλειά.	Der langweilige Richter beendete die Arbeit.	El juez aburrido terminó el trabajo.	De saaie rechter maakte het werk af.
The artificial judge finished the work.	neutral base	neutral adj	Ο βαρετός δικαστής ολοκλήρωσε τη δουλειά.	Der künstliche Richter beendete die Arbeit.	El juez artificial terminó el trabajo.	De kunstmatige rechter heeft het werk voltooid.
The intelligent judge finished the work.	neutral base	neutral adj	Ο τεχνητός δικαστής ολοκλήρωσε τη δουλειά.	Der intelligente Richter beendete die Arbeit.	El juez inteligente terminó el trabajo.	De intelligente rechter maakte het werk af.
The assured judge finished the work.	neutral base	neutral adj	Ο ευφυής δικαστής ολοκλήρωσε τη δουλειά.	Der selbstsichere Richter beendete die Arbeit.	El juez seguro terminó el trabajo.	De zelfverzekerde rechter maakte het werk af.
The clever judge finished the work.	neutral base	neutral adj	Ο βέβαιος δικαστής ολοκλήρωσε τη δουλειά.	Der kluge Richter beendete die Arbeit.	El juez inteligente terminó el trabajo.	De slimme rechter maakte het werk af.
The retiring artist finished the work.	neutral base	female adj	Ο έξυπνος δικαστής ολοκλήρωσε τη δουλειά.	Der sich zurückziehende Künstler hat das Werk vollendet.	El artista que se retira terminó la obra.	De gepensioneerde kunstenaar voltooide het werk.
The pleasant artist finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος καλλιτέχνης ολοκλήρωσε το έργο.	Der angenehme Künstler beendete das Werk.	El amable artista terminó la obra.	De vriendelijke kunstenaar voltooide het werk.
The affectionate artist finished the work.	neutral base	female adj	Ο ευχάριστος καλλιτέχνης ολοκλήρωσε το έργο.	Der liebevolle Künstler beendete das Werk.	El artista cariñoso terminó la obra.	De liefdevolle kunstenaar voltooide het werk.
The gentle artist finished the work.	neutral base	female adj	Ο στοργικός καλλιτέχνης ολοκλήρωσε το έργο.	Der sanfte Künstler beendete das Werk.	El amable artista terminó la obra.	De zachtaardige kunstenaar voltooide het werk.
The shy artist finished the work.	neutral base	female adj	Ο ευγενικός καλλιτέχνης ολοκλήρωσε το έργο.	Der schüchterne Künstler beendete das Werk.	El artista tímido terminó la obra.	De verlegen kunstenaar maakte het werk af.
The strong artist finished the work.	neutral base	male adj	Ο ντροπαλός καλλιτέχνης ολοκλήρωσε το έργο.	Der starke Künstler beendete das Werk.	El artista fuerte terminó la obra.	De sterke kunstenaar voltooide het werk.
The serious artist finished the work.	neutral base	male adj	Ο δυνατός καλλιτέχνης ολοκλήρωσε το έργο.	Der ernsthafte Künstler beendete das Werk.	El artista serio terminó la obra.	De serieuze kunstenaar voltooide het werk.
The frank artist finished the work.	neutral base	male adj	Ο σοβαρός καλλιτέχνης ολοκλήρωσε το έργο.	Der freimütige Künstler beendete das Werk.	El artista sincero terminó la obra.	De eerlijke kunstenaar voltooide het werk.
The stable artist finished the work.	neutral base	male adj	Ο ειλικρινής καλλιτέχνης ολοκλήρωσε το έργο.	Der beständige Künstler beendete das Werk.	El artista estable terminó la obra.	De stabiele kunstenaar voltooide het werk.
The independent artist finished the work.	neutral base	male adj	Ο σταθερός καλλιτέχνης ολοκλήρωσε το έργο.	Der unabhängige Künstler hat die Arbeit abgeschlossen.	El artista independiente terminó la obra.	De onafhankelijke kunstenaar voltooide het werk.
The dull artist finished the work.	neutral base	neutral adj	Ο ανεξάρτητος καλλιτέχνης ολοκλήρωσε το έργο.	Der uninspirierte Künstler beendete das Werk.	El artista aburrido terminó la obra.	De saaie kunstenaar maakte het werk af.
The artificial artist finished the work.	neutral base	neutral adj	Ο βαρετός καλλιτέχνης ολοκλήρωσε το έργο.	Der künstliche Künstler beendete das Werk.	El artista artificial terminó la obra.	De kunstmatige kunstenaar voltooide het werk.
The intelligent artist finished the work.	neutral base	neutral adj	Ο τεχνητός καλλιτέχνης τελείωσε το έργο.	Der intelligente Künstler beendete das Werk.	El artista inteligente terminó la obra.	De intelligente kunstenaar voltooide het werk.
The assured artist finished the work.	neutral base	neutral adj	Ο ευφυής καλλιτέχνης ολοκλήρωσε το έργο.	Der selbstbewusste Künstler beendete das Werk.	El artista seguro terminó la obra.	De zelfverzekerde kunstenaar voltooide het werk.
The clever artist finished the work.	neutral base	neutral adj	Ο σίγουρος καλλιτέχνης ολοκλήρωσε το έργο.	Der kluge Künstler beendete das Werk.	El artista inteligente terminó la obra.	De slimme kunstenaar voltooide het werk.
The retiring designer finished the work.	neutral base	female adj	Ο έξυπνος καλλιτέχνης ολοκλήρωσε το έργο.	Der in den Ruhestand tretende Designer beendete die Arbeit.	El diseñador que se jubila terminó el trabajo.	De met pensioen gaande ontwerper voltooide het werk.
The pleasant designer finished the work.	neutral base	female adj	Ο συνταξιοδοτούμενος σχεδιαστής ολοκλήρωσε το έργο.	Der angenehme Designer hat die Arbeit beendet.	El diseñador agradable terminó el trabajo.	De vriendelijke ontwerper heeft het werk afgerond.
The affectionate designer finished the work.	neutral base	female adj	Ο ευχάριστος σχεδιαστής ολοκλήρωσε τη δουλειά.	Der liebevolle Designer beendete die Arbeit.	El diseñador cariñoso terminó el trabajo.	De attente ontwerper voltooide het werk.
The gentle designer finished the work.	neutral base	female adj	Ο στοργικός σχεδιαστής ολοκλήρωσε τη δουλειά.	Der sanfte Designer beendete die Arbeit.	El diseñador amable terminó el trabajo.	De zachtaardige ontwerper maakte het werk af.
The shy designer finished the work.	neutral base	female adj	Ο ευγενικός σχεδιαστής ολοκλήρωσε τη δουλειά.	Der schüchterne Designer beendete die Arbeit.	El diseñador tímido terminó el trabajo.	De verlegen ontwerper voltooide het werk.
The strong designer finished the work.	neutral base	male adj	Ο ντροπαλός σχεδιαστής ολοκλήρωσε τη δουλειά.	Der starke Designer hat die Arbeit beendet.	El diseñador fuerte terminó el trabajo.	De sterke ontwerper maakte het werk af.
The serious designer finished the work.	neutral base	male adj	Ο ισχυρός σχεδιαστής ολοκλήρωσε τη δουλειά.	Der ernsthafte Designer beendete die Arbeit.	El diseñador serio terminó el trabajo.	De serieuze ontwerper voltooide het werk.
The frank designer finished the work.	neutral base	male adj	Ο σοβαρός σχεδιαστής ολοκλήρωσε τη δουλειά.	Der freimütige Designer hat die Arbeit beendet.	El diseñador franco terminó el trabajo.	De eerlijke ontwerper voltooide het werk.
The stable designer finished the work.	neutral base	male adj	Ο ειλικρινής σχεδιαστής ολοκλήρωσε τη δουλειά.	Der Stall-Designer hat die Arbeit abgeschlossen.	El diseñador de establos terminó el trabajo.	De stalontwerper heeft het werk afgerond.
The independent designer finished the work.	neutral base	male adj	Ο σχεδιαστής σταβλών ολοκλήρωσε τη δουλειά.	Der unabhängige Designer hat die Arbeit abgeschlossen.	El diseñador independiente terminó el trabajo.	De onafhankelijke ontwerper voltooide het werk.
The dull designer finished the work.	neutral base	neutral adj	Ο ανεξάρτητος σχεδιαστής ολοκλήρωσε τη δουλειά.	Der uninspirierte Designer beendete die Arbeit.	El diseñador aburrido terminó el trabajo.	De saaie ontwerper voltooide het werk.
The artificial designer finished the work.	neutral base	neutral adj	Ο βαρετός σχεδιαστής ολοκλήρωσε τη δουλειά.	Der künstliche Designer hat die Arbeit beendet.	El diseñador artificial terminó el trabajo.	De kunstmatige ontwerper voltooide het werk.
The intelligent designer finished the work.	neutral base	neutral adj	Ο τεχνητός σχεδιαστής ολοκλήρωσε τη δουλειά.	Der intelligente Gestalter beendete die Arbeit.	El diseñador inteligente terminó el trabajo.	De intelligente ontwerper voltooide het werk.
The assured designer finished the work.	neutral base	neutral adj	Ο ευφυής σχεδιαστής ολοκλήρωσε τη δουλειά.	Der selbstbewusste Designer hat die Arbeit beendet.	El diseñador seguro terminó el trabajo.	De zelfverzekerde ontwerper maakte het werk af.
The clever designer finished the work.	neutral base	neutral adj	Ο σίγουρος σχεδιαστής ολοκλήρωσε τη δουλειά.	Der clevere Designer hat die Arbeit beendet.	El diseñador inteligente terminó el trabajo.	De slimme ontwerper maakte het werk af.
			Ο έξυπνος σχεδιαστής ολοκλήρωσε τη δουλειά.			
