adj5_sentences	type_base	type_adj	EL_GT	DE_GT	ES_GT	NL_GT
The intelligent salesperson finished the work.	neutral base	neutral adj	Ο έξυπνος πωλητής τελείωσε τη δουλειά.	Der intelligente Verkäufer hat die Arbeit erledigt.	El vendedor inteligente terminó el trabajo.	De intelligente verkoper maakte het werk af.
The assured salesperson finished the work.	neutral base	neutral adj	Ο σίγουρος πωλητής τελείωσε τη δουλειά.	Der kompetente Verkäufer hat die Arbeit erledigt.	El vendedor asegurado terminó el trabajo.	De zelfverzekerde verkoper voltooide het werk.
The clever salesperson finished the work.	neutral base	neutral adj	Ο έξυπνος πωλητής τελείωσε τη δουλειά.	Der clevere Verkäufer hat die Arbeit zu Ende gebracht.	El vendedor inteligente terminó el trabajo.	De slimme verkoper maakte het werk af.
The retiring photographer finished the work.	neutral base	female adj	Ο συνταξιούχος φωτογράφος ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Fotograf hat die Arbeit beendet.	El fotógrafo jubilado terminó el trabajo.	De fotograaf die met pensioen ging, maakte het werk af.
The pleasant photographer finished the work.	neutral base	female adj	Ο ευχάριστος φωτογράφος τελείωσε τη δουλειά.	Der sympathische Fotograf hat das Werk vollendet.	El amable fotógrafo terminó el trabajo.	De vriendelijke fotograaf maakte het werk af.
The affectionate photographer finished the work.	neutral base	female adj	Ο τρυφερός φωτογράφος ολοκλήρωσε τη δουλειά.	Der liebevolle Fotograf hat das Werk vollendet.	El cariñoso fotógrafo terminó el trabajo.	De liefdevolle fotograaf maakte het werk af.
The gentle photographer finished the work.	neutral base	female adj	Ο ευγενικός φωτογράφος τελείωσε τη δουλειά.	Der sanfte Fotograf hat das Werk vollendet.	El amable fotógrafo terminó el trabajo.	De vriendelijke fotograaf maakte het werk af.
The shy photographer finished the work.	neutral base	female adj	Ο ντροπαλός φωτογράφος τελείωσε τη δουλειά.	Der schüchterne Fotograf hat sein Werk vollendet.	El tímido fotógrafo terminó el trabajo.	De verlegen fotograaf maakte het werk af.
The strong photographer finished the work.	neutral base	male adj	Ο δυνατός φωτογράφος τελείωσε τη δουλειά.	Der starke Fotograf hat das Werk vollendet.	El fuerte fotógrafo terminó el trabajo.	De sterke fotograaf maakte het werk af.
The serious photographer finished the work.	neutral base	male adj	Ο σοβαρός φωτογράφος τελείωσε τη δουλειά.	Der seriöse Fotograf hat das Werk vollendet.	El fotógrafo serio terminó el trabajo.	De serieuze fotograaf maakte het werk af.
The frank photographer finished the work.	neutral base	male adj	Ο ειλικρινής φωτογράφος τελείωσε τη δουλειά.	Der freimütige Fotograf hat das Werk vollendet.	El fotógrafo franco terminó el trabajo.	De openhartige fotograaf maakte het werk af.
The stable photographer finished the work.	neutral base	male adj	Ο σταθερός φωτογράφος τελείωσε τη δουλειά.	Der Stallfotograf hat die Arbeit vollendet.	El fotógrafo de establo terminó el trabajo.	De vaste fotograaf heeft het werk afgerond.
The independent photographer finished the work.	neutral base	male adj	Ο ανεξάρτητος φωτογράφος ολοκλήρωσε τη δουλειά.	Der freiberufliche Fotograf hat das Werk vollendet.	El fotógrafo independiente terminó el trabajo.	De zelfstandige fotograaf maakte het werk af.
The dull photographer finished the work.	neutral base	neutral adj	Ο θαμπός φωτογράφος τελείωσε τη δουλειά.	Der langweilige Fotograf hat die Arbeit beendet.	El fotógrafo aburrido terminó el trabajo.	De saaie fotograaf maakte het werk af.
The artificial photographer finished the work.	neutral base	neutral adj	Ο τεχνητός φωτογράφος ολοκλήρωσε τη δουλειά.	Der künstliche Fotograf hat die Arbeit vollendet.	El fotógrafo artificial terminó el trabajo.	De kunstmatige fotograaf maakte het werk af.
The intelligent photographer finished the work.	neutral base	neutral adj	Ο έξυπνος φωτογράφος ολοκλήρωσε τη δουλειά.	Der intelligente Fotograf hat das Werk vollendet.	El fotógrafo inteligente terminó el trabajo.	De intelligente fotograaf maakte het werk af.
The assured photographer finished the work.	neutral base	neutral adj	Ο σίγουρος φωτογράφος τελείωσε τη δουλειά.	Der selbstbewusste Fotograf hat die Arbeit zu Ende gebracht.	El fotógrafo asegurado terminó el trabajo.	De verzekerde fotograaf maakte het werk af.
The clever photographer finished the work.	neutral base	neutral adj	Ο έξυπνος φωτογράφος ολοκλήρωσε τη δουλειά.	Der clevere Fotograf hat das Werk vollendet.	El inteligente fotógrafo terminó el trabajo.	De slimme fotograaf maakte het werk af.
The retiring bartender finished the work.	neutral base	female adj	Ο συνταξιούχος μπάρμαν τελείωσε τη δουλειά.	Der in den Ruhestand gehende Barkeeper beendete die Arbeit.	El camarero jubilado terminó el trabajo.	De barman die met pensioen ging, maakte het werk af.
The pleasant bartender finished the work.	neutral base	female adj	Ο ευχάριστος μπάρμαν τελείωσε τη δουλειά.	Der nette Barkeeper vollendete die Arbeit.	El amable camarero terminó el trabajo.	De vriendelijke barman maakte het werk af.
The affectionate bartender finished the work.	neutral base	female adj	Ο στοργικός μπάρμαν τελείωσε τη δουλειά.	Der liebevolle Barkeeper vollendete die Arbeit.	El cariñoso camarero terminó el trabajo.	De liefdevolle barman maakte het werk af.
The gentle bartender finished the work.	neutral base	female adj	Ο ευγενικός μπάρμαν τελείωσε τη δουλειά.	Der freundliche Barkeeper vollendete die Arbeit.	El amable camarero terminó el trabajo.	De vriendelijke barman maakte het werk af.
The shy bartender finished the work.	neutral base	female adj	Ο ντροπαλός μπάρμαν τελείωσε τη δουλειά.	Der schüchterne Barkeeper beendete die Arbeit.	El tímido camarero terminó el trabajo.	De verlegen barman maakte het werk af.
The strong bartender finished the work.	neutral base	male adj	Ο δυνατός μπάρμαν τελείωσε τη δουλειά.	Der kräftige Barkeeper vollendete die Arbeit.	El fuerte camarero terminó el trabajo.	De sterke barman maakte het werk af.
The serious bartender finished the work.	neutral base	male adj	Ο σοβαρός μπάρμαν τελείωσε τη δουλειά.	Der ernsthafte Barkeeper hat die Arbeit beendet.	El camarero serio terminó el trabajo.	De serieuze barman maakte het werk af.
The frank bartender finished the work.	neutral base	male adj	Ο ειλικρινής μπάρμαν τελείωσε τη δουλειά.	Der offenherzige Barkeeper vollendete die Arbeit.	El camarero franco terminó el trabajo.	De eerlijke barman maakte het werk af.
The stable bartender finished the work.	neutral base	male adj	Ο στάβλος μπάρμαν τελείωσε τη δουλειά.	Der Stallwirt vollendete die Arbeit.	El camarero del establo terminó el trabajo.	De stabiele barman maakte het werk af.
The independent bartender finished the work.	neutral base	male adj	Ο ανεξάρτητος μπάρμαν τελείωσε τη δουλειά.	Der selbstständige Barkeeper hat die Arbeit zu Ende geführt.	El camarero independiente terminó el trabajo.	De zelfstandige barman maakte het werk af.
The dull bartender finished the work.	neutral base	neutral adj	Ο βαρετός μπάρμαν τελείωσε τη δουλειά.	Der langweilige Barkeeper beendete die Arbeit.	El aburrido camarero terminó el trabajo.	De saaie barman maakte het werk af.
The artificial bartender finished the work.	neutral base	neutral adj	Ο τεχνητός μπάρμαν τελείωσε τη δουλειά.	Der künstliche Barkeeper hat die Arbeit vollendet.	El camarero artificial terminó el trabajo.	De kunstmatige barman maakte het werk af.
The intelligent bartender finished the work.	neutral base	neutral adj	Ο έξυπνος μπάρμαν τελείωσε τη δουλειά.	Der intelligente Barkeeper hat die Arbeit beendet.	El inteligente camarero terminó el trabajo.	De intelligente barman maakte het werk af.
The assured bartender finished the work.	neutral base	neutral adj	Ο σίγουρος μπάρμαν τελείωσε τη δουλειά.	Der selbstbewusste Barkeeper hat seine Arbeit zu Ende gebracht.	El camarero confiado terminó el trabajo.	De zelfverzekerde barman maakte het werk af.
The clever bartender finished the work.	neutral base	neutral adj	Ο έξυπνος μπάρμαν τελείωσε τη δουλειά.	Der clevere Barkeeper hat die Arbeit vollendet.	El inteligente camarero terminó el trabajo.	De slimme barman maakte het werk af.
The retiring dispatcher finished the work.	neutral base	female adj	Ο αποσυρόμενος αποστολέας τελείωσε τη δουλειά.	Der in den Ruhestand gehende Disponent beendete die Arbeit.	El despachador saliente terminó el trabajo.	De vertrekkende centralist maakte het werk af.
The pleasant dispatcher finished the work.	neutral base	female adj	Ο ευχάριστος αποστολέας τελείωσε τη δουλειά.	Der nette Disponent hat die Arbeit zu Ende geführt.	El amable despachador terminó el trabajo.	De vriendelijke dispatcher maakte het werk af.
The affectionate dispatcher finished the work.	neutral base	female adj	Ο στοργικός αποστολέας τελείωσε τη δουλειά.	Der liebevolle Disponent hat die Arbeit zu Ende geführt.	El cariñoso despachador terminó el trabajo.	De liefdevolle dispatcher maakte het werk af.
The gentle dispatcher finished the work.	neutral base	female adj	Ο ευγενικός αποστολέας τελείωσε τη δουλειά.	Der freundliche Disponent hat die Arbeit zu Ende gebracht.	El amable despachador terminó el trabajo.	De vriendelijke dispatcher maakte het werk af.
The shy dispatcher finished the work.	neutral base	female adj	Ο ντροπαλός αποστολέας τελείωσε τη δουλειά.	Der schüchterne Disponent beendete die Arbeit.	El tímido despachador terminó el trabajo.	De verlegen centralist maakte het werk af.
The strong dispatcher finished the work.	neutral base	male adj	Ο δυνατός αποστολέας τελείωσε τη δουλειά.	Der starke Disponent hat die Arbeit vollendet.	El fuerte despachador terminó el trabajo.	De sterke dispatcher maakte het werk af.
The serious dispatcher finished the work.	neutral base	male adj	Ο σοβαρός αποστολέας τελείωσε τη δουλειά.	Der seriöse Disponent hat die Arbeit zu Ende gebracht.	El despachador serio terminó el trabajo.	De serieuze dispatcher maakte het werk af.
The frank dispatcher finished the work.	neutral base	male adj	Ο ειλικρινής αποστολέας τελείωσε τη δουλειά.	Der freimütige Disponent hat die Arbeit zu Ende gebracht.	El franco despachador terminó el trabajo.	De eerlijke dispatcher voltooide het werk.
The stable dispatcher finished the work.	neutral base	male adj	Ο στάβλος αποστολέας τελείωσε τη δουλειά.	Der Stalldisponent hat seine Arbeit beendet.	El despachador de establo terminó el trabajo.	De staldispatcher heeft het werk afgerond.
The independent dispatcher finished the work.	neutral base	male adj	Ο ανεξάρτητος αποστολέας ολοκλήρωσε την εργασία.	Der unabhängige Disponent hat die Arbeiten abgeschlossen.	El despachador independiente terminó el trabajo.	De onafhankelijke dispatcher heeft het werk afgerond.
The dull dispatcher finished the work.	neutral base	neutral adj	Ο βαρετός αποστολέας τελείωσε τη δουλειά.	Der langweilige Disponent hat die Arbeit beendet.	El aburrido despachador terminó el trabajo.	De saaie dispatcher maakte het werk af.
The artificial dispatcher finished the work.	neutral base	neutral adj	Ο τεχνητός αποστολέας τελείωσε τη δουλειά.	Der künstliche Dispatcher hat seine Arbeit beendet.	El despachador artificial terminó el trabajo.	De kunstmatige dispatcher maakte het werk af.
The intelligent dispatcher finished the work.	neutral base	neutral adj	Ο έξυπνος αποστολέας τελείωσε τη δουλειά.	Der intelligente Dispatcher hat die Arbeit erledigt.	El despachador inteligente terminó el trabajo.	De intelligente dispatcher voltooide het werk.
The assured dispatcher finished the work.	neutral base	neutral adj	Ο διαβεβαιωμένος αποστολέας τελείωσε τη δουλειά.	Der versicherte Disponent hat die Arbeit zu Ende geführt.	El despachador asegurado terminó el trabajo.	De verzekerde dispatcher voltooide het werk.
The clever dispatcher finished the work.	neutral base	neutral adj	Ο έξυπνος αποστολέας τελείωσε τη δουλειά.	Der clevere Disponent hat die Arbeit zu Ende gebracht.	El inteligente despachador terminó el trabajo.	De slimme dispatcher maakte het werk af.
The retiring judge finished the work.	neutral base	female adj	Ο συνταξιούχος δικαστής τελείωσε το έργο.	Der scheidende Richter beendete die Arbeit.	El juez saliente terminó el trabajo.	De aftredende rechter maakte het werk af.
The pleasant judge finished the work.	neutral base	female adj	Ο ευχάριστος κριτής τελείωσε το έργο.	Der freundliche Richter hat das Werk vollendet.	El amable juez terminó el trabajo.	De vriendelijke rechter maakte het werk af.
The affectionate judge finished the work.	neutral base	female adj	Ο στοργικός κριτής τελείωσε τη δουλειά.	Der liebevolle Richter beendete die Arbeit.	El cariñoso juez terminó la obra.	De liefdevolle rechter maakte het werk af.
The gentle judge finished the work.	neutral base	female adj	Ο ευγενικός κριτής τελείωσε τη δουλειά.	Der sanfte Richter beendete die Arbeit.	El amable juez terminó el trabajo.	De vriendelijke rechter maakte het werk af.
The shy judge finished the work.	neutral base	female adj	Ο ντροπαλός δικαστής τελείωσε τη δουλειά.	Der schüchterne Richter beendete die Arbeit.	El tímido juez terminó el trabajo.	De verlegen rechter maakte het werk af.
The strong judge finished the work.	neutral base	male adj	Ο δυνατός κριτής τελείωσε τη δουλειά.	Der strenge Richter hat das Werk vollendet.	El juez fuerte terminó la obra.	De strenge rechter maakte het werk af.
The serious judge finished the work.	neutral base	male adj	Ο σοβαρός δικαστής τελείωσε τη δουλειά.	Der seriöse Richter hat sein Werk vollendet.	El juez serio terminó el trabajo.	De serieuze rechter maakte het werk af.
The frank judge finished the work.	neutral base	male adj	Ο ειλικρινής δικαστής τελείωσε τη δουλειά.	Der freimütige Richter beendete die Arbeit.	El juez franco terminó la obra.	De eerlijke rechter voltooide het werk.
The stable judge finished the work.	neutral base	male adj	Ο σταθερός δικαστής τελείωσε τη δουλειά.	Der Stallrichter beendete die Arbeit.	El juez de cuadra terminó el trabajo.	De stalkeurmeester maakte het werk af.
The independent judge finished the work.	neutral base	male adj	Ο ανεξάρτητος δικαστής τελείωσε το έργο.	Der unabhängige Richter beendete die Arbeit.	El juez independiente terminó el trabajo.	De onafhankelijke rechter heeft het werk afgerond.
The dull judge finished the work.	neutral base	neutral adj	Ο βαρετός δικαστής τελείωσε τη δουλειά.	Der stumpfsinnige Richter beendete die Arbeit.	El juez aburrido terminó el trabajo.	De saaie rechter maakte het werk af.
The artificial judge finished the work.	neutral base	neutral adj	Ο τεχνητός δικαστής τελείωσε τη δουλειά.	Der künstliche Richter beendete seine Arbeit.	El juez artificial terminó el trabajo.	De kunstmatige rechter maakte het werk af.
The intelligent judge finished the work.	neutral base	neutral adj	Ο ευφυής δικαστής τελείωσε τη δουλειά.	Der intelligente Richter hat die Arbeit beendet.	El juez inteligente terminó la obra.	De intelligente rechter voltooide het werk.
The assured judge finished the work.	neutral base	neutral adj	Ο σίγουρος δικαστής τελείωσε τη δουλειά.	Der versicherte Richter hat die Arbeit zu Ende geführt.	El juez asegurado terminó el trabajo.	De zelfverzekerde rechter voltooide het werk.
The clever judge finished the work.	neutral base	neutral adj	Ο έξυπνος κριτής τελείωσε τη δουλειά.	Der kluge Richter hat das Werk vollendet.	El inteligente juez terminó el trabajo.	De slimme rechter maakte het werk af.
The retiring artist finished the work.	neutral base	female adj	Ο συνταξιούχος καλλιτέχνης τελείωσε το έργο.	Der in den Ruhestand gehende Künstler hat das Werk vollendet.	El artista jubilado terminó la obra.	De afscheidnemende kunstenaar maakte het werk af.
The pleasant artist finished the work.	neutral base	female adj	Ο ευχάριστος καλλιτέχνης τελείωσε το έργο.	Der sympathische Künstler hat das Werk vollendet.	El agradable artista terminó la obra.	De aardige kunstenaar voltooide het werk.
The affectionate artist finished the work.	neutral base	female adj	Ο τρυφερός καλλιτέχνης τελείωσε το έργο.	Der liebevolle Künstler hat das Werk vollendet.	El cariñoso artista terminó la obra.	De liefdevolle kunstenaar maakte het werk af.
The gentle artist finished the work.	neutral base	female adj	Ο ευγενικός καλλιτέχνης τελείωσε το έργο.	Der sanfte Künstler vollendete das Werk.	El gentil artista terminó la obra.	De vriendelijke kunstenaar voltooide het werk.
The shy artist finished the work.	neutral base	female adj	Ο ντροπαλός καλλιτέχνης τελείωσε το έργο.	Der schüchterne Künstler beendete das Werk.	El tímido artista terminó la obra.	De verlegen kunstenaar maakte het werk af.
The strong artist finished the work.	neutral base	male adj	Ο δυνατός καλλιτέχνης τελείωσε το έργο.	Der kräftige Künstler hat das Werk vollendet.	El fuerte artista terminó la obra.	De sterke kunstenaar voltooide het werk.
The serious artist finished the work.	neutral base	male adj	Ο σοβαρός καλλιτέχνης τελείωσε το έργο.	Der ernsthafte Künstler hat das Werk vollendet.	El artista serio terminó la obra.	De serieuze kunstenaar maakte het werk af.
The frank artist finished the work.	neutral base	male adj	Ο ειλικρινής καλλιτέχνης τελείωσε το έργο.	Der freimütige Künstler hat das Werk vollendet.	El artista franco terminó la obra.	De Frank-kunstenaar voltooide het werk.
The stable artist finished the work.	neutral base	male adj	Ο σταθερός καλλιτέχνης τελείωσε το έργο.	Der Stallkünstler hat das Werk vollendet.	El artista estable terminó la obra.	De stabiele kunstenaar voltooide het werk.
The independent artist finished the work.	neutral base	male adj	Ο ανεξάρτητος καλλιτέχνης ολοκλήρωσε το έργο.	Der freischaffende Künstler stellte das Werk fertig.	El artista independiente terminó la obra.	De onafhankelijke kunstenaar voltooide het werk.
The dull artist finished the work.	neutral base	neutral adj	Ο βαρετός καλλιτέχνης τελείωσε το έργο.	Der langweilige Künstler hat das Werk vollendet.	El artista aburrido terminó la obra.	De saaie kunstenaar maakte het werk af.
The artificial artist finished the work.	neutral base	neutral adj	Ο τεχνητός καλλιτέχνης τελείωσε το έργο.	Der künstliche Künstler hat das Werk vollendet.	El artista artificial terminó la obra.	De kunstschilder heeft het werk afgemaakt.
The intelligent artist finished the work.	neutral base	neutral adj	Ο ευφυής καλλιτέχνης τελείωσε το έργο.	Der intelligente Künstler hat das Werk vollendet.	El artista inteligente terminó la obra.	De intelligente kunstenaar voltooide het werk.
The assured artist finished the work.	neutral base	neutral adj	Ο σίγουρος καλλιτέχνης τελείωσε το έργο.	Der versicherte Künstler hat das Werk fertiggestellt.	El artista asegurado terminó la obra.	De zelfverzekerde kunstenaar voltooide het werk.
The clever artist finished the work.	neutral base	neutral adj	Ο έξυπνος καλλιτέχνης τελείωσε το έργο.	Der kluge Künstler hat das Werk vollendet.	El inteligente artista terminó la obra.	De slimme kunstenaar maakte het werk af.
The retiring designer finished the work.	neutral base	female adj	Ο συνταξιούχος σχεδιαστής ολοκλήρωσε τη δουλειά.	Der in den Ruhestand gehende Designer hat die Arbeit beendet.	El diseñador jubilado terminó el trabajo.	De ontwerper die met pensioen ging, maakte het werk af.
The pleasant designer finished the work.	neutral base	female adj	Ο ευχάριστος σχεδιαστής τελείωσε τη δουλειά.	Der sympathische Designer hat das Werk vollendet.	El agradable diseñador terminó el trabajo.	De vriendelijke ontwerper maakte het werk af.
The affectionate designer finished the work.	neutral base	female adj	Ο τρυφερός σχεδιαστής τελείωσε τη δουλειά.	Der liebevolle Designer hat das Werk vollendet.	El cariñoso diseñador terminó el trabajo.	De liefdevolle ontwerper maakte het werk af.
The gentle designer finished the work.	neutral base	female adj	Ο ευγενικός σχεδιαστής τελείωσε τη δουλειά.	Der sanfte Designer hat das Werk vollendet.	El amable diseñador terminó el trabajo.	De vriendelijke ontwerper voltooide het werk.
The shy designer finished the work.	neutral base	female adj	Ο ντροπαλός σχεδιαστής τελείωσε τη δουλειά.	Der schüchterne Designer hat das Werk vollendet.	El tímido diseñador terminó el trabajo.	De verlegen ontwerper maakte het werk af.
The strong designer finished the work.	neutral base	male adj	Ο δυνατός σχεδιαστής τελείωσε τη δουλειά.	Der starke Designer hat das Werk vollendet.	El fuerte diseñador terminó el trabajo.	De sterke ontwerper maakte het werk af.
The serious designer finished the work.	neutral base	male adj	Ο σοβαρός σχεδιαστής τελείωσε τη δουλειά.	Der seriöse Designer hat das Werk vollendet.	El diseñador serio terminó el trabajo.	De serieuze ontwerper maakte het werk af.
The frank designer finished the work.	neutral base	male adj	Ο ειλικρινής σχεδιαστής τελείωσε το έργο.	Der freimütige Designer hat das Werk vollendet.	El diseñador franco terminó el trabajo.	De Frank-ontwerper voltooide het werk.
The stable designer finished the work.	neutral base	male adj	Ο στάβλος σχεδιαστής τελείωσε τη δουλειά.	Der Stalldesigner hat die Arbeiten abgeschlossen.	El diseñador del establo terminó el trabajo.	De stalontwerper heeft het werk afgerond.
The independent designer finished the work.	neutral base	male adj	Ο ανεξάρτητος σχεδιαστής ολοκλήρωσε τη δουλειά.	Der freiberufliche Designer hat das Werk fertiggestellt.	El diseñador independiente terminó el trabajo.	De onafhankelijke ontwerper voltooide het werk.
The dull designer finished the work.	neutral base	neutral adj	Ο βαρετός σχεδιαστής τελείωσε τη δουλειά.	Der langweilige Designer hat die Arbeit vollendet.	El aburrido diseñador terminó el trabajo.	De saaie ontwerper maakte het werk af.
The artificial designer finished the work.	neutral base	neutral adj	Ο τεχνητός σχεδιαστής τελείωσε το έργο.	Der Kunstdesigner hat das Werk vollendet.	El diseñador artificial terminó el trabajo.	De kunstmatige ontwerper heeft het werk afgemaakt.
The intelligent designer finished the work.	neutral base	neutral adj	Ο έξυπνος σχεδιαστής τελείωσε τη δουλειά.	Der intelligente Designer hat das Werk vollendet.	El diseñador inteligente terminó el trabajo.	De intelligente ontwerper voltooide het werk.
The assured designer finished the work.	neutral base	neutral adj	Ο σίγουρος σχεδιαστής τελείωσε τη δουλειά.	Der selbstbewusste Designer hat die Arbeit vollendet.	El diseñador confiado terminó el trabajo.	De zelfverzekerde ontwerper voltooide het werk.
The clever designer finished the work.	neutral base	neutral adj	Ο έξυπνος σχεδιαστής τελείωσε τη δουλειά.	Der clevere Designer hat das Werk vollendet.	El inteligente diseñador terminó el trabajo.	De slimme ontwerper maakte het werk af.
