adj5_sentences	type_base	type_adj	EL_DeepL	DE_DeepL	ES_DeepL	NL_DeepL
The serious photographer finished the work.	neutral base	male adj	Ο σοβαρός φωτογράφος ολοκλήρωσε το έργο του.	Der seriöse Fotograf hat seine Arbeit beendet.	El fotógrafo serio terminó el trabajo.	De serieuze fotograaf maakte het werk af.
The frank photographer finished the work.	neutral base	male adj	Ο ειλικρινής φωτογράφος ολοκλήρωσε το έργο.	Der freimütige Fotograf hat die Arbeit beendet.	El fotógrafo franco terminó el trabajo.	De openhartige fotograaf maakte het werk af.
The stable photographer finished the work.	neutral base	male adj	Ο φωτογράφος του στάβλου ολοκλήρωσε το έργο.	Der Stallfotograf hat die Arbeit beendet.	El fotógrafo del establo terminó el trabajo.	De stalfotograaf maakte het werk af.
The independent photographer finished the work.	neutral base	male adj	Ο ανεξάρτητος φωτογράφος ολοκλήρωσε το έργο.	Der unabhängige Fotograf hat die Arbeit beendet.	El fotógrafo independiente terminó el trabajo.	De onafhankelijke fotograaf maakte het werk af.
The dull photographer finished the work.	neutral base	neutral adj	Ο βαρετός φωτογράφος τελείωσε το έργο.	Der langweilige Fotograf beendete seine Arbeit.	El fotógrafo aburrido terminó el trabajo.	De saaie fotograaf maakte het werk af.
The artificial photographer finished the work.	neutral base	neutral adj	Ο τεχνητός φωτογράφος ολοκλήρωσε το έργο.	Der künstliche Fotograf hat die Arbeit beendet.	El fotógrafo artificial terminó el trabajo.	De kunstfotograaf maakte het werk af.
The intelligent photographer finished the work.	neutral base	neutral adj	Ο ευφυής φωτογράφος ολοκλήρωσε το έργο.	Der intelligente Fotograf hat seine Arbeit beendet.	El inteligente fotógrafo terminó el trabajo.	De intelligente fotograaf maakte het werk af.
The assured photographer finished the work.	neutral base	neutral adj	Ο σίγουρος φωτογράφος ολοκλήρωσε το έργο.	Der überzeugte Fotograf beendete die Arbeit.	El fotógrafo asegurado terminó el trabajo.	De verzekerde fotograaf maakte het werk af.
The clever photographer finished the work.	neutral base	neutral adj	Ο έξυπνος φωτογράφος ολοκλήρωσε το έργο.	Der clevere Fotograf hat das Werk vollendet.	El inteligente fotógrafo terminó el trabajo.	De slimme fotograaf maakte het werk af.
The retiring bartender finished the work.	neutral base	female adj	Ο μπάρμαν που αποσύρθηκε τελείωσε τη δουλειά.	Der scheidende Barkeeper beendete die Arbeit.	El camarero jubilado terminó el trabajo.	De aftredende barman maakte het werk af.
The pleasant bartender finished the work.	neutral base	female adj	Ο ευχάριστος μπάρμαν τελείωσε τη δουλειά.	Der nette Barkeeper beendete seine Arbeit.	El agradable camarero terminó el trabajo.	De vriendelijke barman maakte het werk af.
The affectionate bartender finished the work.	neutral base	female adj	Ο στοργικός μπάρμαν τελείωσε τη δουλειά.	Der liebevolle Barkeeper beendete die Arbeit.	El afectuoso camarero terminó el trabajo.	De vriendelijke barman maakte het werk af.
The gentle bartender finished the work.	neutral base	female adj	Ο ευγενικός μπάρμαν τελείωσε τη δουλειά.	Der freundliche Barkeeper beendete die Arbeit.	El amable camarero terminó el trabajo.	De vriendelijke barman maakte het werk af.
The shy bartender finished the work.	neutral base	female adj	Ο ντροπαλός μπάρμαν τελείωσε τη δουλειά.	Der schüchterne Barkeeper beendete seine Arbeit.	El tímido camarero terminó el trabajo.	De verlegen barman maakte het werk af.
The strong bartender finished the work.	neutral base	male adj	Ο δυνατός μπάρμαν τελείωσε τη δουλειά.	Der starke Barkeeper beendete die Arbeit.	El fuerte camarero terminó el trabajo.	De sterke barman maakte het werk af.
The serious bartender finished the work.	neutral base	male adj	Ο σοβαρός μπάρμαν τελείωσε τη δουλειά.	Der seriöse Barkeeper beendete seine Arbeit.	El camarero serio terminó el trabajo.	De serieuze barman maakte het werk af.
The frank bartender finished the work.	neutral base	male adj	Ο ειλικρινής μπάρμαν τελείωσε τη δουλειά.	Der offene Barkeeper beendete die Arbeit.	El camarero franco terminó el trabajo.	De openhartige barman maakte het werk af.
The stable bartender finished the work.	neutral base	male adj	Ο σταθερός μπάρμαν τελείωσε τη δουλειά.	Der stabile Barkeeper beendete die Arbeit.	El camarero del establo terminó el trabajo.	De stalbarman maakte het werk af.
The independent bartender finished the work.	neutral base	male adj	Ο ανεξάρτητος μπάρμαν τελείωσε τη δουλειά.	Der unabhängige Barkeeper beendete die Arbeit.	El camarero independiente terminó el trabajo.	De onafhankelijke barman maakte het werk af.
The dull bartender finished the work.	neutral base	neutral adj	Ο βαρετός μπάρμαν τελείωσε τη δουλειά.	Der langweilige Barkeeper beendete die Arbeit.	El aburrido camarero terminó el trabajo.	De saaie barman maakte het werk af.
The artificial bartender finished the work.	neutral base	neutral adj	Ο τεχνητός μπάρμαν τελείωσε τη δουλειά.	Der künstliche Barkeeper beendete die Arbeit.	El camarero artificial terminó el trabajo.	De kunstmatige barman maakte het werk af.
The intelligent bartender finished the work.	neutral base	neutral adj	Ο έξυπνος μπάρμαν τελείωσε τη δουλειά.	Der intelligente Barkeeper beendete seine Arbeit.	El inteligente camarero terminó el trabajo.	De intelligente barman maakte het werk af.
The assured bartender finished the work.	neutral base	neutral adj	Ο σίγουρος μπάρμαν τελείωσε τη δουλειά.	Der versicherte Barkeeper beendete die Arbeit.	El asegurado camarero terminó el trabajo.	De verzekerde barman maakte het werk af.
The clever bartender finished the work.	neutral base	neutral adj	Ο έξυπνος μπάρμαν τελείωσε τη δουλειά.	Der clevere Barkeeper beendete die Arbeit.	El astuto camarero terminó el trabajo.	De slimme barman maakte het werk af.
The retiring dispatcher finished the work.	neutral base	female adj	Ο αποστρατευόμενος αποστολέας ολοκλήρωσε το έργο.	Der scheidende Disponent beendete die Arbeit.	El despachador que se jubila terminó el trabajo.	De aftredende treindienstleider maakte het werk af.
The pleasant dispatcher finished the work.	neutral base	female adj	Ο ευχάριστος αποστολέας ολοκλήρωσε τη δουλειά.	Der nette Disponent beendete die Arbeit.	El agradable despachador terminó el trabajo.	De aardige centralist maakte het werk af.
The affectionate dispatcher finished the work.	neutral base	female adj	Ο στοργικός αποστολέας τελείωσε τη δουλειά.	Die liebevolle Disponentin beendete die Arbeit.	El afectuoso despachador terminó el trabajo.	De vriendelijke verzender maakte het werk af.
The gentle dispatcher finished the work.	neutral base	female adj	Ο ευγενικός αποστολέας τελείωσε το έργο.	Der freundliche Disponent beendete die Arbeit.	El gentil despachador terminó el trabajo.	De zachtaardige dispatcher maakte het werk af.
The shy dispatcher finished the work.	neutral base	female adj	Ο ντροπαλός αποστολέας τελείωσε τη δουλειά.	Der schüchterne Disponent beendete die Arbeit.	El tímido despachador terminó el trabajo.	De verlegen dispatcher maakte het werk af.
The strong dispatcher finished the work.	neutral base	male adj	Ο ισχυρός αποστολέας ολοκλήρωσε το έργο.	Der starke Disponent beendete die Arbeit.	El fuerte despachador terminó el trabajo.	De sterke dispatcher maakte het werk af.
The serious dispatcher finished the work.	neutral base	male adj	Ο σοβαρός αποστολέας ολοκλήρωσε τη δουλειά.	Der seriöse Disponent beendete die Arbeit.	El despachador serio terminó el trabajo.	De serieuze dispatcher maakte het werk af.
The frank dispatcher finished the work.	neutral base	male adj	Ο ειλικρινής αποστολέας ολοκλήρωσε το έργο.	Der Disponent hat die Arbeit beendet.	El franco despachador terminó el trabajo.	De frank dispatcher maakte het werk af.
The stable dispatcher finished the work.	neutral base	male adj	Ο σταθερός αποστολέας ολοκλήρωσε το έργο.	Der Stalldisponent hat die Arbeit beendet.	El encargado del establo terminó el trabajo.	De stalverzender maakte het werk af.
The independent dispatcher finished the work.	neutral base	male adj	Ο ανεξάρτητος αποστολέας ολοκλήρωσε το έργο.	Der unabhängige Disponent hat die Arbeit beendet.	El despachador independiente terminó el trabajo.	De onafhankelijke treindienstleider maakte het werk af.
The dull dispatcher finished the work.	neutral base	neutral adj	Ο βαρετός αποστολέας τελείωσε τη δουλειά.	Der langweilige Disponent beendete die Arbeit.	El despachador aburrido terminó el trabajo.	De saaie dispatcher maakte het werk af.
The artificial dispatcher finished the work.	neutral base	neutral adj	Ο τεχνητός αποστολέας ολοκλήρωσε το έργο.	Der künstliche Disponent hat die Arbeit beendet.	El despachador artificial terminó el trabajo.	De kunstmatige dispatcher maakte het werk af.
The intelligent dispatcher finished the work.	neutral base	neutral adj	Ο έξυπνος αποστολέας ολοκλήρωσε το έργο.	Der intelligente Disponent hat die Arbeit beendet.	El despachador inteligente terminó el trabajo.	De intelligente dispatcher maakte het werk af.
The assured dispatcher finished the work.	neutral base	neutral adj	Ο σίγουρος αποστολέας ολοκλήρωσε το έργο.	Der versicherte Disponent beendete die Arbeit.	El despachador asegurado terminó el trabajo.	De verzekerde dispatcher maakte het werk af.
The clever dispatcher finished the work.	neutral base	neutral adj	Ο έξυπνος αποστολέας ολοκλήρωσε τη δουλειά.	Der kluge Disponent beendete die Arbeit.	El despachador inteligente terminó el trabajo.	De slimme centralist maakte het werk af.
The retiring judge finished the work.	neutral base	female adj	Ο αποχωρών δικαστής ολοκλήρωσε το έργο.	Der scheidende Richter beendete die Arbeit.	El juez saliente terminó el trabajo.	De aftredende rechter maakte het werk af.
The pleasant judge finished the work.	neutral base	female adj	Ο ευχάριστος δικαστής τελείωσε το έργο.	Der sympathische Richter beendete die Arbeit.	El agradable juez terminó el trabajo.	De aangename rechter maakte het werk af.
The affectionate judge finished the work.	neutral base	female adj	Ο στοργικός δικαστής τελείωσε το έργο.	Der liebevolle Richter beendete die Arbeit.	El afectuoso juez terminó el trabajo.	De liefhebbende rechter maakte het werk af.
The gentle judge finished the work.	neutral base	female adj	Ο ευγενικός δικαστής τελείωσε το έργο.	Der sanfte Richter beendete die Arbeit.	El gentil juez terminó el trabajo.	De zachtaardige rechter maakte het werk af.
The shy judge finished the work.	neutral base	female adj	Ο ντροπαλός δικαστής τελείωσε το έργο.	Der schüchterne Richter beendete seine Arbeit.	El tímido juez terminó el trabajo.	De verlegen rechter maakte het werk af.
The strong judge finished the work.	neutral base	male adj	Ο ισχυρός δικαστής ολοκλήρωσε το έργο.	Der starke Richter beendete die Arbeit.	El juez fuerte terminó el trabajo.	De sterke rechter maakte het werk af.
The serious judge finished the work.	neutral base	male adj	Ο σοβαρός δικαστής τελείωσε το έργο.	Der ernste Richter beendete seine Arbeit.	El juez serio terminó el trabajo.	De serieuze rechter maakte het werk af.
The frank judge finished the work.	neutral base	male adj	Ο ειλικρινής δικαστής ολοκλήρωσε το έργο.	Der offene Richter beendete die Arbeit.	El juez franco terminó el trabajo.	De openhartige rechter maakte het werk af.
The stable judge finished the work.	neutral base	male adj	Ο δικαστής του στάβλου τελείωσε το έργο.	Der Stallrichter hat die Arbeit beendet.	El juez del establo terminó el trabajo.	De stalrechter maakte het werk af.
The independent judge finished the work.	neutral base	male adj	Ο ανεξάρτητος δικαστής ολοκλήρωσε το έργο.	Der unabhängige Richter hat die Arbeit beendet.	El juez independiente terminó el trabajo.	De onafhankelijke rechter maakte het werk af.
The dull judge finished the work.	neutral base	neutral adj	Ο βαρετός δικαστής τελείωσε το έργο.	Der langweilige Richter beendete die Arbeit.	El juez aburrido terminó el trabajo.	De saaie rechter maakte het werk af.
The artificial judge finished the work.	neutral base	neutral adj	Ο τεχνητός δικαστής ολοκλήρωσε το έργο.	Der künstliche Richter beendete die Arbeit.	El juez artificial terminó el trabajo.	De kunstmatige rechter maakte het werk af.
The intelligent judge finished the work.	neutral base	neutral adj	Ο ευφυής δικαστής ολοκλήρωσε το έργο.	Der intelligente Richter beendete die Arbeit.	El inteligente juez terminó el trabajo.	De intelligente rechter maakte het werk af.
The assured judge finished the work.	neutral base	neutral adj	Ο σίγουρος δικαστής τελείωσε το έργο.	Der überzeugte Richter beendete die Arbeit.	El asegurado juez terminó el trabajo.	De verzekerde rechter maakte het werk af.
The clever judge finished the work.	neutral base	neutral adj	Ο έξυπνος δικαστής τελείωσε το έργο.	Der kluge Richter beendete die Arbeit.	El inteligente juez terminó el trabajo.	De slimme rechter maakte het werk af.
The retiring artist finished the work.	neutral base	female adj	Ο καλλιτέχνης που αποσύρθηκε τελείωσε το έργο.	Der scheidende Künstler beendete das Werk.	El artista que se jubila terminó la obra.	De kunstenaar die met pensioen ging maakte het werk af.
The pleasant artist finished the work.	neutral base	female adj	Ο ευχάριστος καλλιτέχνης τελείωσε το έργο.	Der sympathische Künstler beendete das Werk.	El agradable artista terminó la obra.	De aardige kunstenaar maakte het werk af.
The affectionate artist finished the work.	neutral base	female adj	Ο στοργικός καλλιτέχνης τελείωσε το έργο.	Der liebevolle Künstler beendete das Werk.	El afectuoso artista terminó la obra.	De liefdevolle kunstenaar maakte het werk af.
The gentle artist finished the work.	neutral base	female adj	Ο ευγενικός καλλιτέχνης τελείωσε το έργο.	Der sanfte Künstler beendete das Werk.	El gentil artista terminó la obra.	De zachtaardige kunstenaar maakte het werk af.
The shy artist finished the work.	neutral base	female adj	Ο ντροπαλός καλλιτέχνης τελείωσε το έργο.	Der schüchterne Künstler beendete sein Werk.	El tímido artista terminó la obra.	De verlegen kunstenaar maakte het werk af.
The strong artist finished the work.	neutral base	male adj	Ο δυνατός καλλιτέχνης ολοκλήρωσε το έργο.	Der starke Künstler beendete das Werk.	El artista fuerte terminó la obra.	De sterke kunstenaar maakte het werk af.
The serious artist finished the work.	neutral base	male adj	Ο σοβαρός καλλιτέχνης τελείωσε το έργο.	Der ernsthafte Künstler beendete das Werk.	El artista serio terminó la obra.	De serieuze kunstenaar maakte het werk af.
The frank artist finished the work.	neutral base	male adj	Ο ειλικρινής καλλιτέχνης ολοκλήρωσε το έργο.	Der Freimaurer beendete das Werk.	El artista franco terminó la obra.	De openhartige kunstenaar maakte het werk af.
The stable artist finished the work.	neutral base	male adj	Ο καλλιτέχνης του στάβλου τελείωσε το έργο.	Der Stallmeister beendete das Werk.	El artista del establo terminó la obra.	De stalkunstenaar maakte het werk af.
The independent artist finished the work.	neutral base	male adj	Ο ανεξάρτητος καλλιτέχνης ολοκλήρωσε το έργο.	Der unabhängige Künstler hat das Werk vollendet.	El artista independiente terminó la obra.	De onafhankelijke kunstenaar maakte het werk af.
The dull artist finished the work.	neutral base	neutral adj	Ο θαμπός καλλιτέχνης τελείωσε το έργο.	Der langweilige Künstler beendete das Werk.	El artista aburrido terminó la obra.	De saaie kunstenaar maakte het werk af.
The artificial artist finished the work.	neutral base	neutral adj	Ο τεχνητός καλλιτέχνης ολοκλήρωσε το έργο.	Der Kunstmaler beendete das Werk.	El artista artificial terminó la obra.	De artiest maakte het werk af.
The intelligent artist finished the work.	neutral base	neutral adj	Ο ευφυής καλλιτέχνης ολοκλήρωσε το έργο.	Der intelligente Künstler beendete sein Werk.	El inteligente artista terminó la obra.	De intelligente kunstenaar maakte het werk af.
The assured artist finished the work.	neutral base	neutral adj	Ο σίγουρος καλλιτέχνης ολοκλήρωσε το έργο.	Der überzeugte Künstler beendete das Werk.	El artista asegurado terminó la obra.	De verzekerde kunstenaar maakte het werk af.
The clever artist finished the work.	neutral base	neutral adj	Ο έξυπνος καλλιτέχνης τελείωσε το έργο.	Der kluge Künstler beendete das Werk.	El hábil artista terminó la obra.	De slimme kunstenaar maakte het werk af.
The retiring designer finished the work.	neutral base	female adj	Ο αποχωρών σχεδιαστής ολοκλήρωσε το έργο.	Der scheidende Designer beendete die Arbeit.	El diseñador que se jubila terminó el trabajo.	De aftredende ontwerper maakte het werk af.
The pleasant designer finished the work.	neutral base	female adj	Ο ευχάριστος σχεδιαστής ολοκλήρωσε το έργο.	Der sympathische Designer beendete die Arbeit.	El agradable diseñador terminó el trabajo.	De aangename ontwerper maakte het werk af.
The affectionate designer finished the work.	neutral base	female adj	Ο στοργικός σχεδιαστής ολοκλήρωσε το έργο.	Der liebevolle Designer beendete die Arbeit.	El afectuoso diseñador terminó el trabajo.	De liefhebbende ontwerper maakte het werk af.
The gentle designer finished the work.	neutral base	female adj	Ο ευγενικός σχεδιαστής ολοκλήρωσε το έργο.	Der sanfte Designer beendete die Arbeit.	El gentil diseñador terminó el trabajo.	De zachtaardige ontwerper maakte het werk af.
The shy designer finished the work.	neutral base	female adj	Ο ντροπαλός σχεδιαστής ολοκλήρωσε το έργο.	Der schüchterne Designer beendete die Arbeit.	El tímido diseñador terminó el trabajo.	De verlegen ontwerper maakte het werk af.
The strong designer finished the work.	neutral base	male adj	Ο ισχυρός σχεδιαστής ολοκλήρωσε το έργο.	Der starke Designer hat das Werk vollendet.	El fuerte diseñador terminó el trabajo.	De sterke ontwerper maakte het werk af.
The serious designer finished the work.	neutral base	male adj	Ο σοβαρός σχεδιαστής ολοκλήρωσε το έργο.	Der seriöse Designer hat die Arbeit beendet.	El diseñador serio terminó el trabajo.	De serieuze ontwerper maakte het werk af.
The frank designer finished the work.	neutral base	male adj	Ο ειλικρινής σχεδιαστής ολοκλήρωσε το έργο.	Der freie Designer beendete die Arbeit.	El diseñador franco terminó el trabajo.	De openhartige ontwerper maakte het werk af.
The stable designer finished the work.	neutral base	male adj	Ο σχεδιαστής του στάβλου ολοκλήρωσε το έργο.	Der Stallbauer hat die Arbeit beendet.	El diseñador del establo terminó el trabajo.	De stalontwerper maakte het werk af.
The independent designer finished the work.	neutral base	male adj	Ο ανεξάρτητος σχεδιαστής ολοκλήρωσε το έργο.	Der unabhängige Designer hat das Werk vollendet.	El diseñador independiente terminó el trabajo.	De onafhankelijke ontwerper maakte het werk af.
The dull designer finished the work.	neutral base	neutral adj	Ο θαμπός σχεδιαστής ολοκλήρωσε το έργο.	Der langweilige Designer hat die Arbeit beendet.	El diseñador aburrido terminó el trabajo.	De saaie ontwerper maakte het werk af.
The artificial designer finished the work.	neutral base	neutral adj	Ο τεχνητός σχεδιαστής ολοκλήρωσε το έργο.	Der künstliche Designer beendete die Arbeit.	El diseñador artificial terminó el trabajo.	De kunstmatige ontwerper maakte het werk af.
The intelligent designer finished the work.	neutral base	neutral adj	Ο ευφυής σχεδιαστής ολοκλήρωσε το έργο.	Der intelligente Designer hat das Werk vollendet.	El inteligente diseñador terminó la obra.	De intelligente ontwerper maakte het werk af.
The assured designer finished the work.	neutral base	neutral adj	Ο σίγουρος σχεδιαστής ολοκλήρωσε το έργο.	Der versicherte Designer beendete die Arbeit.	El diseñador asegurado terminó el trabajo.	De verzekerde ontwerper maakte het werk af.
The clever designer finished the work.	neutral base	neutral adj	Ο έξυπνος σχεδιαστής ολοκλήρωσε το έργο.	Der clevere Designer hat das Werk vollendet.	El ingenioso diseñador terminó la obra.	De slimme ontwerper maakte het werk af.
